ID_Cliente,Edad,Género,Trabajo,Estado_Civil,Región,Ingreso_Anual,Tipo_Vehículo,Prima_Seguros,Número_Siniestros,Cliente_Fiel,Actividad_Compra
70,34,Masculino,Comerciante,Casado,Sur,35022,Coche,884,0,Sí,Baja
71,53,Femenino,Ingeniero,Casado,Este,58463,Furgoneta,370,2,Sí,Baja
72,67,Femenino,Administrativo,Soltero,Sur,89671,SUV,852,1,Sí,Baja
73,57,Masculino,Comerciante,Divorciado,Sur,20722,Furgoneta,387,1,Sí,Baja
74,21,Femenino,Comerciante,Soltero,Norte,42413,Moto,1664,1,Sí,Media
75,19,Masculino,Estudiante,Divorciado,Norte,81732,Moto,1309,1,Sí,Media
76,23,Masculino,Médico,Casado,Oeste,27297,Moto,1699,0,No,Baja
77,71,Masculino,Ingeniero,Soltero,Norte,83323,Moto,251,1,No,Media
78,59,Femenino,Comerciante,Divorciado,Norte,38816,Coche,310,1,No,Alta
79,21,Masculino,Ingeniero,Divorciado,Norte,55695,Coche,1076,0,No,Media
80,71,Masculino,Profesor,Casado,Norte,34702,Furgoneta,1266,2,No,Media
81,46,Masculino,Estudiante,Soltero,Oeste,40242,SUV,410,2,Sí,Baja
82,35,Femenino,Profesor,Soltero,Norte,70841,Moto,1423,2,No,Media
83,43,Femenino,Ingeniero,Soltero,Este,82712,Furgoneta,1057,1,No,Media
84,61,Femenino,Desempleado,Casado,Este,68574,Coche,1975,0,Sí,Baja
85,51,Femenino,Administrativo,Soltero,Este,43482,Coche,826,0,Sí,Baja
86,27,Femenino,Ingeniero,Casado,Este,24171,SUV,1249,0,No,Media
87,53,Masculino,Médico,Casado,Norte,18696,SUV,498,2,Sí,Alta
88,31,Femenino,Comerciante,Casado,Este,35058,SUV,1300,1,No,Media
89,48,Femenino,Comerciante,Divorciado,Norte,35313,Furgoneta,1123,0,Sí,Media
90,65,Femenino,Profesor,Soltero,Oeste,34149,Coche,336,1,Sí,Alta
91,32,Masculino,Administrativo,Soltero,Este,68521,Coche,1243,0,Sí,Alta
92,25,Femenino,Estudiante,Casado,Sur,60740,SUV,639,0,Sí,Media
93,31,Femenino,Desempleado,Casado,Este,19956,Moto,410,0,Sí,Media
94,40,Masculino,Abogado,Soltero,Este,81641,SUV,951,0,No,Media
95,74,Femenino,Administrativo,Casado,Norte,78811,Furgoneta,1774,0,No,Alta
96,57,Masculino,Comerciante,Soltero,Este,67160,SUV,634,0,No,Media
97,38,Masculino,Médico,Divorciado,Sur,66313,SUV,979,0,Sí,Media
98,33,Masculino,Administrativo,Casado,Norte,78232,Furgoneta,1430,0,No,Alta
99,62,Masculino,Profesor,Soltero,Norte,30417,SUV,638,0,Sí,Alta
100,35,Masculino,Profesor,Casado,Oeste,39729,Coche,865,0,Sí,Media
101,64,Femenino,Abogado,Soltero,Oeste,45099,Moto,1265,2,Sí,Baja
102,70,Masculino,Médico,Soltero,Este,44961,SUV,610,0,Sí,Media
103,41,Masculino,Estudiante,Casado,Oeste,27602,Furgoneta,1746,0,Sí,Alta
104,43,Femenino,Administrativo,Divorciado,Oeste,24256,Moto,1005,0,Sí,Media
105,42,Masculino,Médico,Soltero,Oeste,49681,Furgoneta,809,0,No,Baja
106,62,Femenino,Estudiante,Soltero,Norte,79789,Moto,626,0,No,Alta
107,58,Femenino,Médico,Soltero,Norte,58361,Moto,1498,0,Sí,Media
108,46,Femenino,Médico,Divorciado,Norte,79503,SUV,1671,1,Sí,Media
109,32,Masculino,Ingeniero,Divorciado,Oeste,49540,Coche,1101,0,Sí,Alta
110,62,Masculino,Profesor,Casado,Norte,41536,SUV,1141,1,Sí,Baja
111,18,Masculino,Administrativo,Divorciado,Oeste,78043,Furgoneta,941,0,No,Media
112,42,Femenino,Médico,Casado,Norte,71575,Furgoneta,1592,0,Sí,Media
113,24,Masculino,Administrativo,Casado,Norte,17871,Moto,1443,0,No,Alta
114,26,Masculino,Abogado,Divorciado,Sur,61002,Moto,1800,1,No,Alta
115,41,Masculino,Médico,Casado,Este,64812,Coche,1455,0,Sí,Media
116,18,Femenino,Comerciante,Divorciado,Oeste,37626,SUV,527,0,No,Media
117,61,Femenino,Profesor,Casado,Sur,74979,Furgoneta,1666,0,Sí,Alta
118,25,Masculino,Comerciante,Divorciado,Norte,81668,Moto,251,2,Sí,Alta
119,41,Masculino,Administrativo,Divorciado,Oeste,57998,Coche,575,0,Sí,Alta
120,28,Masculino,Administrativo,Casado,Norte,78814,Furgoneta,462,0,Sí,Baja
121,68,Masculino,Profesor,Soltero,Este,60607,Moto,466,1,Sí,Media
122,34,Femenino,Administrativo,Casado,Sur,22812,Furgoneta,558,0,Sí,Baja
123,25,Femenino,Comerciante,Divorciado,Este,76844,Coche,1540,0,No,Alta
124,52,Femenino,Médico,Soltero,Sur,85093,Coche,1547,0,No,Baja
125,52,Femenino,Médico,Casado,Norte,17179,Furgoneta,1889,0,No,Alta
126,50,Masculino,Ingeniero,Casado,Este,58798,SUV,851,0,Sí,Media
127,22,Masculino,Abogado,Casado,Este,89601,Furgoneta,1786,0,No,Baja
128,59,Masculino,Administrativo,Soltero,Norte,23275,Moto,1852,0,No,Media
129,56,Femenino,Comerciante,Divorciado,Este,65574,SUV,1644,0,No,Media
130,58,Masculino,Administrativo,Casado,Oeste,62857,Moto,245,1,No,Alta
131,45,Femenino,Administrativo,Casado,Sur,35700,Furgoneta,799,0,No,Alta
132,24,Femenino,Estudiante,Casado,Sur,54464,SUV,919,1,Sí,Media
133,26,Masculino,Ingeniero,Casado,Sur,57351,Moto,1492,1,No,Media
134,25,Masculino,Comerciante,Casado,Oeste,28869,Furgoneta,800,0,Sí,Media
135,29,Masculino,Comerciante,Divorciado,Sur,75315,Furgoneta,580,1,No,Media
136,51,Femenino,Administrativo,Divorciado,Norte,35954,SUV,317,0,Sí,Media
137,50,Masculino,Ingeniero,Casado,Este,46555,Furgoneta,1789,0,Sí,Alta
138,65,Femenino,Médico,Soltero,Oeste,78353,Coche,315,0,Sí,Alta
139,72,Masculino,Comerciante,Divorciado,Sur,60026,Moto,1853,1,No,Baja
140,40,Femenino,Médico,Soltero,Norte,61976,Moto,459,3,Sí,Alta
141,41,Femenino,Ingeniero,Divorciado,Este,60095,Furgoneta,1298,0,Sí,Media
142,54,Masculino,Médico,Casado,Este,29270,Furgoneta,1703,0,No,Alta
143,52,Femenino,Profesor,Divorciado,Oeste,45908,Coche,504,0,No,Media
144,61,Femenino,Estudiante,Casado,Oeste,30523,SUV,206,1,Sí,Media
145,57,Masculino,Desempleado,Divorciado,Oeste,77433,Furgoneta,565,0,Sí,Alta
146,39,Femenino,Comerciante,Casado,Norte,62068,Furgoneta,1857,0,No,Alta
147,44,Masculino,Abogado,Casado,Norte,34991,Furgoneta,722,0,No,Media
148,52,Femenino,Estudiante,Casado,Oeste,25775,Furgoneta,1571,0,Sí,Media
149,18,Masculino,Desempleado,Casado,Sur,76250,Moto,1661,0,No,Alta
150,52,Masculino,Médico,Soltero,Este,31673,Furgoneta,1438,1,Sí,Media
151,54,Femenino,Comerciante,Casado,Este,42056,Moto,628,1,No,Alta
152,64,Femenino,Médico,Soltero,Norte,21614,Furgoneta,990,0,No,Baja
153,31,Femenino,Profesor,Soltero,Este,22415,SUV,1721,0,Sí,Media
154,20,Femenino,Ingeniero,Casado,Sur,58884,Coche,1763,0,Sí,Alta
155,18,Femenino,Comerciante,Soltero,Este,31964,SUV,946,0,No,Media
156,22,Masculino,Desempleado,Divorciado,Norte,52726,Furgoneta,566,0,No,Media
157,43,Femenino,Desempleado,Casado,Norte,52044,Furgoneta,512,0,Sí,Alta
158,72,Masculino,Profesor,Soltero,Sur,72149,Furgoneta,737,0,No,Media
159,31,Masculino,Profesor,Casado,Sur,52544,SUV,1120,0,No,Alta
160,56,Femenino,Administrativo,Casado,Este,64976,Furgoneta,1277,1,Sí,Alta
161,44,Masculino,Comerciante,Casado,Este,47252,SUV,1764,0,No,Alta
162,26,Masculino,Médico,Soltero,Norte,18832,Moto,1690,1,Sí,Media
163,32,Masculino,Abogado,Divorciado,Sur,49148,Coche,1064,1,No,Alta
164,32,Masculino,Desempleado,Divorciado,Sur,76240,Coche,1387,1,Sí,Media
165,43,Femenino,Desempleado,Soltero,Sur,68459,SUV,981,0,Sí,Media
166,59,Masculino,Profesor,Casado,Este,53402,Moto,533,0,Sí,Media
167,30,Femenino,Estudiante,Soltero,Sur,72727,SUV,1770,0,No,Media
168,68,Femenino,Profesor,Soltero,Norte,53578,Moto,997,0,No,Baja
169,49,Masculino,Abogado,Soltero,Norte,37318,Furgoneta,547,0,No,Media
170,56,Femenino,Médico,Casado,Este,35466,Moto,472,0,No,Media
171,66,Femenino,Médico,Soltero,Oeste,60475,Moto,1162,0,Sí,Alta
172,69,Femenino,Estudiante,Casado,Este,75142,Moto,919,2,No,Baja
173,49,Masculino,Desempleado,Soltero,Oeste,41564,Coche,1973,0,Sí,Alta
174,21,Femenino,Profesor,Divorciado,Sur,37412,Moto,1637,1,No,Media
175,47,Femenino,Administrativo,Soltero,Este,66001,Furgoneta,699,0,Sí,Media
176,54,Femenino,Médico,Soltero,Norte,72649,Furgoneta,1316,0,No,Alta
177,40,Masculino,Abogado,Divorciado,Sur,75957,Furgoneta,884,1,No,Alta
178,56,Femenino,Comerciante,Casado,Norte,50517,Moto,278,0,No,Media
179,62,Masculino,Ingeniero,Casado,Sur,28156,SUV,821,0,Sí,Media
180,32,Masculino,Ingeniero,Soltero,Este,38064,SUV,1440,0,Sí,Media
181,60,Masculino,Ingeniero,Divorciado,Oeste,40711,Furgoneta,1146,1,Sí,Baja
182,46,Masculino,Administrativo,Casado,Sur,45106,Coche,557,0,No,Alta
183,53,Masculino,Desempleado,Soltero,Oeste,80458,SUV,817,0,Sí,Alta
184,30,Masculino,Profesor,Divorciado,Sur,31589,Moto,706,0,No,Media
185,49,Femenino,Estudiante,Casado,Norte,22214,SUV,1782,0,Sí,Media
186,24,Masculino,Administrativo,Casado,Norte,42127,Furgoneta,1404,0,Sí,Media
187,68,Femenino,Administrativo,Divorciado,Sur,20141,Coche,775,1,No,Alta
188,39,Femenino,Médico,Divorciado,Oeste,43884,SUV,1469,0,Sí,Media
189,45,Masculino,Comerciante,Divorciado,Este,17708,SUV,443,1,No,Media
190,19,Femenino,Administrativo,Divorciado,Este,33375,Furgoneta,705,2,No,Media
191,59,Femenino,Abogado,Soltero,Norte,30088,Coche,621,0,Sí,Media
192,62,Femenino,Comerciante,Divorciado,Este,72615,Coche,1543,0,Sí,Media
193,74,Femenino,Abogado,Casado,Norte,60046,Furgoneta,1310,0,Sí,Media
194,70,Masculino,Desempleado,Casado,Este,25014,Moto,416,0,Sí,Alta
195,23,Femenino,Profesor,Soltero,Sur,79425,SUV,1713,2,No,Alta
196,45,Masculino,Ingeniero,Casado,Norte,18273,Moto,1742,2,Sí,Media
197,45,Femenino,Administrativo,Casado,Norte,62135,SUV,1501,0,Sí,Media
198,61,Femenino,Profesor,Divorciado,Sur,45881,SUV,1945,1,Sí,Media
199,61,Masculino,Desempleado,Casado,Norte,23712,Moto,1208,0,Sí,Media
200,37,Femenino,Estudiante,Soltero,Este,89704,Furgoneta,1392,0,Sí,Media
201,47,Femenino,Estudiante,Divorciado,Este,67874,Furgoneta,529,1,No,Baja
202,28,Femenino,Desempleado,Divorciado,Norte,84087,SUV,849,2,No,Alta
203,72,Masculino,Abogado,Soltero,Este,27297,Furgoneta,1664,0,No,Alta
204,45,Femenino,Médico,Divorciado,Oeste,42128,SUV,590,0,No,Alta
205,42,Masculino,Médico,Divorciado,Norte,83368,Furgoneta,1719,1,Sí,Media
206,56,Femenino,Abogado,Soltero,Sur,47920,SUV,580,1,No,Media
207,50,Masculino,Estudiante,Divorciado,Oeste,26156,Furgoneta,1529,0,Sí,Alta
208,18,Masculino,Estudiante,Soltero,Norte,26108,Coche,941,0,Sí,Media
209,74,Femenino,Administrativo,Soltero,Sur,46845,Moto,1019,1,Sí,Alta
210,44,Femenino,Estudiante,Casado,Este,17800,Coche,872,0,Sí,Media
211,74,Masculino,Profesor,Casado,Sur,57712,Moto,712,0,No,Media
212,69,Masculino,Estudiante,Divorciado,Oeste,17610,Moto,1971,0,Sí,Media
213,30,Femenino,Comerciante,Divorciado,Este,48872,SUV,1148,0,No,Alta
214,58,Masculino,Administrativo,Soltero,Norte,25728,Moto,1411,0,Sí,Baja
215,20,Femenino,Ingeniero,Divorciado,Este,35583,Coche,1129,0,Sí,Media
216,56,Femenino,Estudiante,Soltero,Norte,22263,Coche,1739,0,No,Alta
217,23,Femenino,Abogado,Soltero,Norte,82450,Furgoneta,1112,1,Sí,Alta
218,25,Femenino,Ingeniero,Divorciado,Sur,34456,Coche,843,0,Sí,Media
219,44,Masculino,Profesor,Soltero,Sur,80942,Furgoneta,626,1,Sí,Baja
220,26,Femenino,Abogado,Casado,Sur,28689,Moto,701,0,No,Baja
221,54,Masculino,Ingeniero,Divorciado,Oeste,47934,Coche,929,2,No,Media
222,50,Femenino,Abogado,Casado,Oeste,48276,Moto,1483,0,Sí,Baja
223,68,Masculino,Profesor,Divorciado,Sur,34873,Coche,1736,0,No,Alta
224,59,Femenino,Administrativo,Soltero,Oeste,28050,Coche,270,1,No,Alta
225,61,Masculino,Comerciante,Divorciado,Este,81216,Furgoneta,677,0,No,Baja
226,41,Masculino,Profesor,Casado,Este,36644,Moto,1401,1,No,Media
227,32,Femenino,Profesor,Soltero,Oeste,77021,Coche,656,1,Sí,Media
228,71,Femenino,Abogado,Divorciado,Oeste,52125,SUV,388,1,No,Media
229,49,Femenino,Administrativo,Divorciado,Este,81899,Moto,490,0,Sí,Baja
230,49,Femenino,Desempleado,Divorciado,Norte,57291,Moto,1743,1,Sí,Media
231,41,Masculino,Médico,Casado,Este,50060,Moto,1988,0,No,Baja
232,58,Femenino,Estudiante,Casado,Este,16538,Furgoneta,1119,1,No,Media
233,69,Masculino,Estudiante,Divorciado,Oeste,51176,SUV,491,0,Sí,Alta
234,66,Masculino,Comerciante,Soltero,Este,56520,Moto,955,0,Sí,Baja
235,66,Femenino,Comerciante,Soltero,Oeste,40675,Coche,1858,0,No,Alta
236,69,Masculino,Estudiante,Casado,Oeste,33287,Coche,1506,0,Sí,Baja
237,29,Masculino,Médico,Soltero,Sur,15174,Furgoneta,1767,1,Sí,Media
238,56,Masculino,Estudiante,Casado,Este,49998,Coche,576,0,Sí,Media
239,19,Masculino,Desempleado,Divorciado,Norte,68312,Moto,1881,1,Sí,Media
240,20,Femenino,Médico,Casado,Sur,27112,Coche,1379,0,No,Alta
241,66,Femenino,Comerciante,Casado,Oeste,59814,Moto,707,1,Sí,Alta
242,54,Femenino,Ingeniero,Divorciado,Oeste,65719,Coche,1636,1,No,Baja
243,66,Femenino,Abogado,Soltero,Norte,48919,SUV,727,1,Sí,Baja
244,73,Masculino,Desempleado,Casado,Oeste,88155,Furgoneta,1578,0,No,Media
245,34,Masculino,Desempleado,Casado,Este,86569,Furgoneta,758,0,No,Baja
246,66,Femenino,Administrativo,Divorciado,Sur,56328,SUV,1986,1,No,Baja
247,19,Femenino,Comerciante,Soltero,Oeste,85482,SUV,1410,1,No,Media
248,19,Femenino,Comerciante,Casado,Oeste,39618,Furgoneta,1254,0,No,Alta
249,45,Masculino,Profesor,Divorciado,Norte,49675,SUV,459,0,Sí,Baja
250,71,Femenino,Desempleado,Casado,Este,33919,Moto,620,1,No,Media
251,40,Femenino,Profesor,Divorciado,Oeste,19173,Coche,1752,0,No,Baja
252,54,Femenino,Profesor,Soltero,Norte,41400,Furgoneta,1774,1,Sí,Baja
253,49,Masculino,Abogado,Soltero,Oeste,65445,SUV,503,1,Sí,Baja
254,50,Masculino,Profesor,Soltero,Norte,85305,Moto,1141,0,No,Media
255,18,Masculino,Médico,Soltero,Norte,52564,Furgoneta,1262,0,No,Alta
256,36,Masculino,Estudiante,Casado,Este,60814,SUV,1712,2,Sí,Media
257,19,Masculino,Ingeniero,Casado,Oeste,42962,Furgoneta,1867,0,Sí,Media
258,70,Masculino,Comerciante,Soltero,Este,85533,SUV,741,0,No,Alta
259,61,Masculino,Médico,Soltero,Norte,71184,Furgoneta,1893,0,Sí,Media
260,43,Masculino,Ingeniero,Soltero,Sur,25578,Moto,1501,1,No,Media
261,49,Femenino,Desempleado,Casado,Oeste,33624,Moto,1426,0,No,Baja
262,23,Femenino,Desempleado,Soltero,Sur,54194,Coche,1289,0,No,Alta
263,49,Masculino,Desempleado,Soltero,Oeste,15389,Furgoneta,307,0,Sí,Media
264,72,Masculino,Médico,Soltero,Este,82391,Coche,467,0,No,Alta
265,21,Femenino,Médico,Divorciado,Este,28794,Furgoneta,421,0,No,Alta
266,72,Masculino,Comerciante,Soltero,Este,73002,SUV,1753,0,No,Alta
267,28,Masculino,Estudiante,Divorciado,Este,50531,SUV,1313,0,Sí,Media
268,73,Masculino,Administrativo,Divorciado,Este,67815,Coche,892,0,Sí,Alta
269,34,Femenino,Profesor,Soltero,Sur,19986,Furgoneta,454,0,No,Media
270,55,Femenino,Desempleado,Divorciado,Este,47298,Coche,1678,0,Sí,Alta
271,41,Femenino,Abogado,Soltero,Norte,16481,Moto,452,0,Sí,Baja
272,22,Femenino,Estudiante,Casado,Norte,71408,Coche,456,0,Sí,Baja
273,69,Femenino,Abogado,Casado,Sur,84267,Coche,582,0,No,Baja
274,51,Masculino,Comerciante,Casado,Oeste,31835,SUV,641,0,Sí,Baja
275,23,Femenino,Comerciante,Casado,Norte,42798,Coche,798,0,Sí,Baja
276,39,Masculino,Comerciante,Divorciado,Oeste,79887,Furgoneta,1313,2,Sí,Baja
277,28,Masculino,Ingeniero,Soltero,Sur,34477,SUV,1972,0,No,Media
278,65,Femenino,Abogado,Soltero,Oeste,32266,Coche,589,1,Sí,Alta
279,33,Femenino,Estudiante,Soltero,Oeste,58526,Moto,781,0,Sí,Alta
280,50,Masculino,Administrativo,Casado,Oeste,26889,Coche,1267,0,Sí,Alta
281,26,Masculino,Estudiante,Casado,Oeste,39335,Coche,1935,1,No,Media
282,23,Masculino,Médico,Soltero,Sur,26254,Coche,1887,0,Sí,Media
283,33,Femenino,Médico,Casado,Norte,26442,SUV,797,1,Sí,Baja
284,46,Femenino,Desempleado,Soltero,Este,61289,Furgoneta,218,0,Sí,Baja
285,20,Femenino,Administrativo,Soltero,Oeste,68747,Moto,1324,0,No,Media
286,37,Femenino,Médico,Soltero,Norte,52327,Coche,806,0,No,Media
287,53,Femenino,Comerciante,Soltero,Norte,31199,Furgoneta,1989,1,No,Baja
288,36,Masculino,Estudiante,Soltero,Sur,87827,Furgoneta,1580,0,No,Alta
289,43,Femenino,Abogado,Soltero,Norte,15112,SUV,1765,1,Sí,Media
290,20,Masculino,Comerciante,Soltero,Sur,34581,Moto,1984,1,No,Alta
291,36,Masculino,Ingeniero,Casado,Oeste,74722,SUV,232,0,Sí,Media
292,37,Masculino,Médico,Soltero,Oeste,31523,Furgoneta,1452,1,Sí,Alta
293,49,Femenino,Comerciante,Soltero,Este,81960,Furgoneta,1747,0,Sí,Baja
294,24,Femenino,Comerciante,Casado,Este,34552,Furgoneta,1853,0,Sí,Media
295,69,Femenino,Ingeniero,Casado,Este,25808,SUV,1061,3,No,Alta
296,58,Masculino,Profesor,Casado,Norte,87525,Moto,354,0,Sí,Alta
297,50,Masculino,Estudiante,Soltero,Oeste,38620,Coche,1646,0,No,Media
298,57,Masculino,Abogado,Divorciado,Sur,15887,SUV,1104,1,Sí,Baja
299,56,Masculino,Desempleado,Divorciado,Este,46802,Furgoneta,1469,1,Sí,Media
300,35,Masculino,Profesor,Casado,Sur,41049,SUV,604,3,No,Media
301,57,Masculino,Médico,Divorciado,Sur,22846,Furgoneta,1043,0,No,Media
302,18,Femenino,Comerciante,Casado,Este,61220,Coche,1982,0,No,Media
303,28,Femenino,Administrativo,Soltero,Oeste,61163,Coche,1764,0,Sí,Media
304,45,Femenino,Ingeniero,Divorciado,Este,18765,Moto,1384,0,Sí,Media
305,74,Femenino,Ingeniero,Soltero,Sur,60270,Furgoneta,946,0,No,Media
306,42,Masculino,Administrativo,Divorciado,Este,37931,Moto,1925,0,No,Media
307,67,Masculino,Estudiante,Soltero,Sur,70633,Moto,1340,1,Sí,Media
308,40,Femenino,Profesor,Divorciado,Sur,66913,Coche,470,0,No,Baja
309,48,Masculino,Desempleado,Soltero,Este,40991,SUV,969,1,No,Baja
310,47,Femenino,Estudiante,Soltero,Norte,69845,SUV,1915,0,No,Media
311,59,Femenino,Administrativo,Divorciado,Este,70312,Moto,1710,0,No,Media
312,52,Femenino,Comerciante,Soltero,Norte,25561,Coche,371,1,No,Alta
313,24,Masculino,Administrativo,Soltero,Sur,31901,Furgoneta,473,0,Sí,Baja
314,33,Femenino,Estudiante,Soltero,Sur,77875,SUV,458,1,Sí,Media
315,43,Femenino,Abogado,Divorciado,Norte,40917,Moto,1358,1,No,Alta
316,65,Femenino,Ingeniero,Divorciado,Sur,77120,SUV,1906,1,Sí,Media
317,74,Masculino,Ingeniero,Soltero,Norte,16988,SUV,1945,0,Sí,Baja
318,69,Masculino,Médico,Soltero,Norte,29256,Furgoneta,1971,0,Sí,Alta
319,66,Femenino,Médico,Divorciado,Sur,43230,Coche,621,0,Sí,Media
320,19,Masculino,Administrativo,Divorciado,Oeste,74778,Furgoneta,1644,0,No,Media
321,18,Masculino,Desempleado,Soltero,Norte,60833,Coche,1409,0,No,Alta
322,65,Masculino,Comerciante,Soltero,Este,37625,SUV,563,2,Sí,Alta
323,29,Masculino,Abogado,Soltero,Este,47088,Moto,1830,0,Sí,Baja
324,22,Masculino,Profesor,Casado,Sur,56167,Furgoneta,577,0,No,Baja
